key,name
772,DP_19LabC_CA x S
773,DP_20LabC_NCA x S
774,DP_21LabO_CA x S
775,DP_22LabO_NCA x S
776,DP_23Visitors_Tourists x S
777,DP_01Local_male x T
778,DP_02Local_female x T
779,DP_03Exp_m_CA_HI x T
780,DP_04Exp_m_CA_MI x T
781,DP_05Exp_m_CA_LI x T
782,DP_06Exp_m_NCA_MI x T
783,DP_07Exp_m_NCA_LI x T
784,DP_08Exp_f_CA_HI x T
785,DP_09Exp_f_CA_MI x T
786,DP_10Exp_f_CA_LI x T
787,DP_11Exp_f_NCA_MI x T
788,DP_12Exp_f_NCA_LI x T
789,DP_13Local_P1 x T
790,DP_14Local_P2 x T
791,DP_15Expat_P1 x T
792,DP_16Expat_P2 x T
793,DP_17Students x T
794,DP_18Retired x T
795,DP_19LabC_CA x T
796,DP_20LabC_NCA x T
797,DP_21LabO_CA x T
798,DP_22LabO_NCA x T
799,DP_23Visitors_Tourists x T
800,DP_01Local_male x W
801,DP_02Local_female x W
802,DP_03Exp_m_CA_HI x W
803,DP_04Exp_m_CA_MI x W
804,DP_05Exp_m_CA_LI x W
805,DP_06Exp_m_NCA_MI x W
806,DP_07Exp_m_NCA_LI x W
807,DP_08Exp_f_CA_HI x W
808,DP_09Exp_f_CA_MI x W
809,DP_10Exp_f_CA_LI x W
81,GV1
810,DP_11Exp_f_NCA_MI x W
811,DP_12Exp_f_NCA_LI x W
812,DP_13Local_P1 x W
813,DP_14Local_P2 x W
814,DP_15Expat_P1 x W
815,DP_16Expat_P2 x W
816,DP_17Students x W
817,DP_18Retired x W
818,DP_19LabC_CA x W
819,DP_20LabC_NCA x W
82,GV2
820,DP_21LabO_CA x W
821,DP_22LabO_NCA x W
822,DP_23Visitors_Tourists x W
823,DP_01Local_male x X1
824,DP_02Local_female x X1
825,DP_03Exp_m_CA_HI x X1
826,DP_04Exp_m_CA_MI x X1
827,DP_05Exp_m_CA_LI x X1
828,DP_06Exp_m_NCA_MI x X1
829,DP_07Exp_m_NCA_LI x X1
83,GV3
830,DP_08Exp_f_CA_HI x X1
831,DP_09Exp_f_CA_MI x X1
832,DP_10Exp_f_CA_LI x X1
833,DP_11Exp_f_NCA_MI x X1
834,DP_12Exp_f_NCA_LI x X1
835,DP_13Local_P1 x X1
836,DP_14Local_P2 x X1
837,DP_15Expat_P1 x X1
838,DP_16Expat_P2 x X1
839,DP_17Students x X1
84,GV4
840,DP_18Retired x X1
841,DP_19LabC_CA x X1
842,DP_20LabC_NCA x X1
843,DP_21LabO_CA x X1
844,DP_22LabO_NCA x X1
845,DP_23Visitors_Tourists x X1
846,DP_01Local_male x X2
847,DP_02Local_female x X2
848,DP_03Exp_m_CA_HI x X2
849,DP_04Exp_m_CA_MI x X2
850,DP_05Exp_m_CA_LI x X2
851,DP_06Exp_m_NCA_MI x X2
852,DP_07Exp_m_NCA_LI x X2
853,DP_08Exp_f_CA_HI x X2
854,DP_09Exp_f_CA_MI x X2
855,DP_10Exp_f_CA_LI x X2
856,DP_11Exp_f_NCA_MI x X2
857,DP_12Exp_f_NCA_LI x X2
858,DP_13Local_P1 x X2
859,DP_14Local_P2 x X2
860,DP_15Expat_P1 x X2
861,DP_16Expat_P2 x X2
862,DP_17Students x X2
863,DP_18Retired x X2
864,DP_19LabC_CA x X2
865,DP_20LabC_NCA x X2
866,DP_21LabO_CA x X2
867,DP_22LabO_NCA x X2
868,DP_23Visitors_Tourists x X2
870,External Trips All Modes 
90,DubaiResidentsBorderCrossingTripsAM
900,dummy
901,DE_50Ext_Sharjah x A
902,DE_51Ext_AbuDhabi x A
903,DE_52Ext_OtherEmirates x A
904,DE_50Ext_Sharjah x C
905,DE_51Ext_AbuDhabi x C
906,DE_52Ext_OtherEmirates x C
907,DE_50Ext_Sharjah x CP
908,DE_51Ext_AbuDhabi x CP
909,DE_52Ext_OtherEmirates x CP
91,DubaiResidentsBorderCrossingTripsLunch
910,DE_50Ext_Sharjah x PR
911,DE_51Ext_AbuDhabi x PR
912,DE_52Ext_OtherEmirates x PR
913,DE_50Ext_Sharjah x T
914,DE_51Ext_AbuDhabi x T
915,DE_52Ext_OtherEmirates x T
916,DE_50Ext_Sharjah x X1
