coefficient_name,value,constrain
coef_ASC_obstops_first_s2_da_maintenance,0.0,F
coef_ASC_obstops_first_s3_da_maintenance,0.0,F
coef_ASC_obstops_first_s3_s2_maintenance,0.0,F
coef_ASC_ibstops_last_s2_da_maintenance,0.0,F
coef_ASC_ibstops_last_s3_da_maintenance,0.0,F
coef_ASC_ibstops_last_s3_s2_maintenance,0.0,F
coef_ASC_schbus_da_maintenance,0.0,F
coef_ASC_schbus_s2_maintenance,0.0,F
coef_ASC_schbus_s3_maintenance,0.0,F
coef_ASC_schbus_walk_maintenance,0.0,F
coef_ASC_joint_sr2_maintenance,0.0,F
coef_ASC_joint_sr3_maintenance,0.0,F
coef_ASC_joint_walk_maintenance,0.0,F
coef_ASC_joint_bike_maintenance,0.0,F
coef_ASC_joint_walktrn_maintenance,0.0,F
coef_ASC_joint_pnrtrn_maintenance,0.0,F
coef_ASC_joint_knrtrn_maintenance,0.0,F
coef_ASC_joint_rh_maintenance,0.0,F
# Discretionary
coef_ivt_discretionary,-0.0399,T
coef_cost_discretionary,-0.001985634,T
coef_iwait_discretionary,-0.0644,T
coef_xwait_discretionary,-0.0877,T
coef_xfers_drv_discretionary,0.0,T
coef_walktimeshort_discretionary,-0.069497183,T
coef_walktime_discretionary,-0.091414085,T
coef_auxwalk_discretionary,-0.0798,T
coef_bike_time_discretionary,-0.097783099,T
coef_drivetime_discretionary,0.0,T
coef_ASC_s2_da_discretionary,0.0,F
coef_ASC_s3_da_discretionary,0.0,F
coef_ASC_s3_s2_discretionary,0.0,F
coef_ASC_walk_da_discretionary,0.0,F
coef_ASC_walk_s2_discretionary,0.0,F
coef_ASC_walk_s3_discretionary,0.0,F
coef_ASC_bike_walk_discretionary,0.0,F
coef_ASC_walktrn_s2_discretionary,0.0,F
coef_ASC_walktrn_s3_discretionary,0.0,F
coef_ASC_walktrn_walk_discretionary,0.0,F
coef_ASC_walktrn_bike_discretionary,0.0,F
coef_ASC_walktrn_taxi_discretionary,0.0,F
coef_ASC_walktrn_tnc_single_discretionary,0.0,F
coef_ASC_walktrn_tnc_shared_discretionary,0.0,F
coef_ASC_wlktrn_mr_discretionary,0.0,F
coef_ASC_wlktrn_bm_discretionary,0.0,F
coef_ASC_wlktrn_cr_discretionary,0.0,F
coef_ASC_pnr_mr_discretionary,0.0,F
coef_ASC_pnr_bm_discretionary,0.0,F
coef_ASC_pnr_cr_discretionary,0.0,F
coef_ASC_knr_mr_discretionary,0.0,F
coef_ASC_knr_bm_discretionary,0.0,F
coef_ASC_knr_cr_discretionary,0.0,F
coef_ASC_rh_s2_discretionary,0.0,F
coef_ASC_rh_s3_discretionary,0.0,F
coef_ASC_rh_walk_discretionary,0.0,F
coef_ASC_taxi_discretionary,0.0,F
coef_ASC_tnc_single_discretionary,0.0,F
coef_ASC_tnc_shared_discretionary,0.0,F
coef_ASC_nostop_s2_da_discretionary,0.0,F
coef_ASC_nostop_s3_da_discretionary,0.0,F
coef_ASC_nostop_s3_s2_discretionary,0.0,F
coef_ASC_obstops_first_s2_da_discretionary,0.0,T
coef_ASC_obstops_first_s3_da_discretionary,0.0,T
coef_ASC_obstops_first_s3_s2_discretionary,0.0,T
coef_ASC_ibstops_last_s2_da_discretionary,0.0,T
coef_ASC_ibstops_last_s3_da_discretionary,0.0,T
coef_ASC_ibstops_last_s3_s2_discretionary,0.0,T
coef_ASC_schbus_da_discretionary,0.0,F
coef_ASC_schbus_s2_discretionary,0.0,F
coef_ASC_schbus_s3_discretionary,0.0,F
coef_ASC_schbus_walk_discretionary,0.0,F
coef_ASC_joint_sr2_discretionary,0.0,F
coef_ASC_joint_sr3_discretionary,0.0,F
coef_ASC_joint_walk_discretionary,0.0,F
coef_ASC_joint_bike_discretionary,0.0,F
coef_ASC_joint_walktrn_discretionary,0.0,F
coef_ASC_joint_pnrtrn_discretionary,0.0,F
coef_ASC_joint_knrtrn_discretionary,0.0,F
coef_ASC_joint_rh_discretionary,0.0,F
# At-Work
coef_ivt_atwork,-0.0361,T
coef_cost_atwork,-0.000434,T
coef_iwait_atwork,-0.1,T
coef_xwait_atwork,-0.1,T
coef_xfers_drv_atwork,0.0,T
coef_walktimeshort_atwork,-0.0722,T
coef_walktime_atwork,-0.0709,T
coef_auxwalk_atwork,-0.0722,T
coef_bike_time_atwork,-0.0722,T
coef_drivetime_atwork,0.0,T
coef_ASC_s2_da_atwork,0.0,F
coef_ASC_s3_da_atwork,0.0,F
coef_ASC_s3_s2_atwork,0.0,F
coef_ASC_walk_da_atwork,0.0,F
coef_ASC_walk_s2_atwork,0.0,F
coef_ASC_walk_s3_atwork,0.0,F
coef_ASC_bike_walk_atwork,0.0,F
coef_ASC_walktrn_s2_atwork,0.0,F
coef_ASC_walktrn_s3_atwork,0.0,F
coef_ASC_walktrn_walk_atwork,0.0,F
coef_ASC_walktrn_bike_atwork,0.0,F
coef_ASC_walktrn_taxi_atwork,0.0,F
coef_ASC_walktrn_tnc_single_atwork,0.0,F
coef_ASC_walktrn_tnc_shared_atwork,0.0,F
coef_ASC_wlktrn_mr_atwork,0.0,F
coef_ASC_wlktrn_bm_atwork,0.0,F
coef_ASC_wlktrn_cr_atwork,0.0,F
coef_ASC_pnr_mr_atwork,0.0,F
coef_ASC_pnr_bm_atwork,0.0,F
coef_ASC_pnr_cr_atwork,0.0,F
coef_ASC_knr_mr_atwork,0.0,F
coef_ASC_knr_bm_atwork,0.0,F
coef_ASC_knr_cr_atwork,0.0,F
coef_ASC_rh_s2_atwork,0.0,F
coef_ASC_rh_s3_atwork,0.0,F
coef_ASC_rh_walk_atwork,0.0,F
coef_ASC_taxi_atwork,0.0,F
coef_ASC_tnc_single_atwork,0.0,F
coef_ASC_tnc_shared_atwork,0.0,F
coef_ASC_nostop_s2_da_atwork,0.0,F
coef_ASC_nostop_s3_da_atwork,0.0,F
coef_ASC_nostop_s3_s2_atwork,0.0,F
coef_ASC_obstops_first_s2_da_atwork,0.0,T
coef_ASC_obstops_first_s3_da_atwork,0.0,T
coef_ASC_obstops_first_s3_s2_atwork,0.0,T
coef_ASC_ibstops_last_s2_da_atwork,0.0,T
coef_ASC_ibstops_last_s3_da_atwork,0.0,T
coef_ASC_ibstops_last_s3_s2_atwork,0.0,T
coef_ASC_schbus_da_atwork,0.0,F
coef_ASC_schbus_s2_atwork,0.0,F
coef_ASC_schbus_s3_atwork,0.0,F
coef_ASC_schbus_walk_atwork,0.0,F
coef_ASC_joint_sr2_atwork,0.0,F
coef_ASC_joint_sr3_atwork,0.0,F
coef_ASC_joint_walk_atwork,0.0,F
coef_ASC_joint_bike_atwork,0.0,F
coef_ASC_joint_walktrn_atwork,0.0,F
coef_ASC_joint_pnrtrn_atwork,0.0,F
coef_ASC_joint_knrtrn_atwork,0.0,F
coef_ASC_joint_rh_atwork,0.0,F
